dataset,higher_level_category,code,label,definition,include_when,exclude_when
incident_failure_modes,Contextual reasoning failure,framework_context_failure,Framework-context failure,"AI recommendation, explanation, or fix fails because it lacks sufficient repository, framework, dependency, runtime, authentication, routing, or architectural context.","Apply when a recommendation appears plausible in isolation but fails once project, framework, dependency, runtime, or architectural context is considered.",Do not apply to generic incorrect answers where missing context is not the stated reason for failure.
incident_failure_modes,Contextual reasoning failure,outdated_security_knowledge,Outdated security knowledge,"AI provides obsolete, deprecated, stale, or no-longer-recommended security guidance.","Apply when the response mentions outdated APIs, deprecated practices, stale vulnerability knowledge, obsolete mitigations, or guidance contradicted by current documentation.",Do not apply to incomplete answers or wrong answers unless the issue is specifically outdated guidance.
incident_failure_modes,Verification and trust calibration,overconfident_response,Overconfident response,"AI presents an incorrect, unsupported, or misleading security answer with excessive confidence or authoritative tone.","Apply when the participant emphasizes that the answer sounded confident, certain, polished, or authoritative despite being wrong.","Do not apply to uncertain, hedged, or low-confidence answers even if they are incorrect."
incident_failure_modes,Hallucination and severity distortion,severity_miscalibration,Severity miscalibration,"AI overstates, understates, or otherwise misjudges vulnerability severity, exploitability, or security impact.","Apply when the response describes incorrect severity, exploitability, risk ranking, or impact assessment.",Do not apply to a false positive or incorrect explanation unless severity or exploitability is specifically discussed.
incident_failure_modes,Unsafe remediation behavior,incomplete_fix,Incomplete fix,"AI-generated remediation addresses only part of the issue or misses related validation paths, requirements, edge cases, or surrounding logic.","Apply when the fix is partial, incomplete, or fails to address related paths or requirements.",Do not apply when the fix primarily weakens security; use insecure_fix instead.
incident_failure_modes,Verification and trust calibration,verification_required,Verification required,Participant emphasizes that AI-generated security output required independent validation before use.,"Apply when the response explicitly discusses needing manual review, tests, documentation checks, tool comparison, or security analysis to validate AI output.",Do not apply to cases that merely mention a failure without describing verification or validation.
incident_failure_modes,Hallucination and severity distortion,hallucinated_vulnerability,Hallucinated vulnerability,"AI fabricates or incorrectly asserts the existence of a vulnerability, backdoor, exploit path, or security flaw that is not actually present.","Apply when the response describes a false vulnerability claim, fabricated exploitability, or invented security issue.",Do not apply to a real vulnerability with an incorrect explanation; use incorrect_root_cause or severity_miscalibration if applicable.
incident_failure_modes,Unsafe remediation behavior,insecure_fix,Insecure fix,"AI suggests a remediation that would weaken security, bypass security controls, loosen permissions, or introduce unsafe configuration/code.",Apply when the recommended fix would create or increase security risk.,Do not apply to incomplete but not clearly unsafe fixes; use incomplete_fix instead.
incident_failure_modes,Unsafe remediation behavior,introduced_regression,Introduced regression,"AI-generated fix breaks existing functionality, configuration, deployment behavior, or non-security requirements.","Apply when the change causes functional, configuration, build, deployment, or behavioral regression.",Do not apply to newly introduced security weaknesses; use introduced_security_flaw if applicable.
incident_failure_modes,Contextual reasoning failure,incorrect_root_cause,Incorrect root cause,"AI incorrectly explains the source, mechanism, or root cause of a vulnerability or security behavior.","Apply when the response describes a wrong causal explanation, wrong source of vulnerability, or incorrect mechanism.",Do not apply to generic wrong fixes unless the explanation of the cause is specifically incorrect.
incident_failure_modes,Unsafe remediation behavior,unsafe_suppression,Unsafe suppression,"AI recommends suppressing, ignoring, disabling, or bypassing a warning, check, or security control instead of addressing the underlying issue.","Apply when the recommendation silences security tooling, disables validation, bypasses warnings, or suppresses checks without proper justification.",Do not apply to safe configuration changes or false-positive handling when the underlying justification is valid.
incident_failure_modes,Unsafe remediation behavior,introduced_security_flaw,Introduced security flaw,AI-generated change introduces a new security vulnerability or attack surface.,"Apply when the AI-generated output creates a new security weakness, insecure path, or exploitable condition.",Do not apply to general functional regressions without a security implication; use introduced_regression instead.
